id,title,carat,regular_price,sale_price,discount,image,image2,category,Boosts Energy,Promotes Success,Increases Vitality,Strengthens Confidence,Mineral Species,Origin,Carat,Weight in grams,Color,Shape,Cut,Treatment,Certification,Ratti,Return Policy,Dimension Type,Specific Gravity,Refractive Index
1,Yellow Sapphire,2.7,10625,8500,20,static/images/1F.jpg,static/images/1B.jpg,natural-gemstones,Yes,Yes,Yes,Yes,Yellow Sapphire,Sri Lanka,2.7,-,Yellow,Cushion/Mixed,Faceted,-,P3467801,2.99,Click Here,9.50X7.31X3.12,4,"
1.762 to 1.770"
2,Yellow Sapphire,2.7,21250,17000,20,static/images/2F.jpg,static/images/2B.jpg,natural-gemstones,Yes,Yes,Yes,Yes,Yellow Sapphire,Sri Lanka,2.7,-,Yellow,Cushion/Mixed,Faceted,-,P3467802,2.99,Click Here,9.50X7.31X3.12,4,"
1.762 to 1.770"
3,Yellow Sapphire,1.732,44000,35200,20,static/images/3F.jpg,static/images/3B.jpg,natural-gemstones,Yes,Yes,Yes,Yes,Yellow Sapphire,Sri Lanka,1.732,-,-,Oval/Mixed,-,-,P3467803,1.92252,Click Here,-,-,-
4,Yellow Sapphire,2.88,41250,33000,20,static/images/4F.png,static/images/4B.png,natural-gemstones,Yes,Yes,Yes,Yes,Yellow Sapphire,Sri Lanka,2.88,-,-,Oval/Mixed,Faceted,-,P3467804,3.1968,Click Here,8.99*7.48*4.04,4,1.762 to 1.770
5,Yellow Sapphire,2.89,45000,36000,20,static/images/5F.png,static/images/5B.png,natural-gemstones,Yes,Yes,Yes,Yes,Yellow Sapphire,Sri Lanka,2.89,-,Yellow,Cushion/Mixed,Faceted,-,P3467805,3.207,Click Here,8.38*6.98*5.38,4,1.762 to 1.770
6,Yellow Sapphire,3.27,13750,11000,20,static/images/6F.jpg,static/images/6B.jpg,natural-gemstones,Yes,Yes,Yes,Yes,Yellow Sapphire,Sri Lanka,3.27,-,Yellow,Cushion/Mixed,Faceted,-,P3467806,3.6297,Click Here,10.55X6.97X4.25,4,1.762 to 1.770
7,Yellow Sapphire,6.05,43750,35000,20,static/images/7F.png,static/images/7B.png,natural-gemstones,Yes,Yes,Yes,Yes,Yellow Sapphire,Sri Lanka,6.05,-,Yellow,Cushion/Mixed,Faceted,-,P3467807,6.71,Click Here,-,-,-
8,Yellow Sapphire,4.03,49500,39600,20,static/images/8F.jpg,static/images/8B.jpg,natural-gemstones,Yes,Yes,Yes,Yes,Yellow Sapphire,Yellow Sapphire,4.03,-,Yellow,Oval/Mixed,-,-,P3467808,4.03,Click Here,-,-,-
9,Yellow Sapphire,4.03,67500,54000,20,static/images/9F.jpg,static/images/9B.jpg,natural-gemstones,Yes,Yes,Yes,Yes,Yellow Sapphire,Yellow Sapphire,4.03,-,Yellow,Oval/Mixed,Faceted,,P3467809,4.3956,Click Here,-,4,1.762 to 1.770
10,Emerald,3.96,9875,7900,20,static/images/10F.webp,static/images/10B.webp,natural-gemstones,Yes,Yes,Yes,Yes,Emerald,Brazilian,3.96,-,Green,Oval,Faceted,Unheated & Untreated,P3467810,4.3956,Click Here,11.95*9.75*5.22,2.72,1.577 to 1.608
11,Blue Sapphire,4.58,14987.5,11990,20,static/images/11F.webp,static/images/11B.webp,natural-gemstones,Yes,Yes,Yes,Yes,Blue Sapphire,Burma,4.58,-,"Blue
","
Oval/Mixed",Faceted,Unheated & Untreated,P3467811,5.0838,Click Here,-,4,1.765-1.770
